Date,CL
2015-01-21,0.36
2015-04-21,0.38
2015-07-21,0.38
2015-10-21,0.38
2016-01-21,0.38
2016-04-20,0.39
2016-07-20,0.39
2016-10-20,0.39
2017-01-19,0.39
2017-04-19,0.4
2017-07-14,0.4
2017-10-20,0.4
2018-01-22,0.4
2018-04-19,0.42
2018-07-17,0.42
2018-10-18,0.42
2019-01-22,0.42
2019-04-17,0.43
2019-07-17,0.43
2019-10-22,0.43
2020-01-22,0.43
2020-04-17,0.44
2020-07-17,0.44
2020-10-22,0.44
2021-01-22,0.44
2021-04-20,0.45
2021-07-20,0.45
2021-10-20,0.45
2022-01-21,0.45
2022-04-20,0.47
2022-07-20,0.47
2022-10-20,0.47
2023-01-20,0.47
2023-04-20,0.48
2023-07-20,0.48
2023-10-20,0.48
2024-01-19,0.48
2024-04-19,0.5
2024-07-19,0.5
2024-10-18,0.5
2025-01-21,0.5
2025-04-17,0.52
2025-07-18,0.52
2025-10-17,0.52
2026-01-21,0.52
2026-04-20,0.53
2026-07-20,0.53
