Date,HD
2015-03-10,0.59
2015-06-02,0.59
2015-09-01,0.59
2015-12-01,0.59
2016-03-08,0.69
2016-05-31,0.69
2016-08-30,0.69
2016-11-29,0.69
2017-03-07,0.89
2017-05-30,0.89
2017-08-29,0.89
2017-11-29,0.89
2018-03-07,1.03
2018-05-30,1.03
2018-08-29,1.03
2018-11-28,1.03
2019-03-13,1.36
2019-06-05,1.36
2019-09-04,1.36
2019-12-04,1.36
2020-03-11,1.5
2020-06-03,1.5
2020-09-02,1.5
2020-12-02,1.5
2021-03-10,1.65
2021-06-02,1.65
2021-09-01,1.65
2021-12-01,1.65
2022-03-09,1.9
2022-06-01,1.9
2022-08-31,1.9
2022-11-30,1.9
2023-03-08,2.09
2023-05-31,2.09
2023-08-30,2.09
2023-11-29,2.09
2024-03-06,2.25
2024-05-30,2.25
2024-08-29,2.25
2024-11-27,2.25
2025-03-13,2.3
2025-06-05,2.3
2025-09-04,2.3
2025-12-04,2.3
2026-03-12,2.33
2026-06-04,2.33
