Date,IWM
2015-03-25,0.383
2015-07-02,0.529
2015-09-25,0.324
2015-12-24,0.496
2016-03-23,0.327
2016-07-06,0.621
2016-09-26,0.344
2016-12-22,0.563
2017-03-24,0.387
2017-07-06,0.609
2017-09-26,0.349
2017-12-21,0.579
2018-03-22,0.362
2018-07-03,0.595
2018-09-26,0.45
2018-12-17,0.469
2019-03-20,0.412
2019-06-17,0.533
2019-09-24,0.544
2019-12-16,0.597
2020-03-25,0.42
2020-06-15,0.466
2020-09-23,0.566
2020-12-14,0.592
2021-03-25,0.398
2021-06-10,0.347
2021-09-24,0.679
2021-12-13,0.666
2022-03-24,0.4
2022-06-09,0.494
2022-09-26,0.861
2022-12-13,0.83
2023-03-23,0.631
2023-06-07,0.509
2023-09-26,0.829
2023-12-20,0.734
2024-03-21,0.522
2024-06-11,0.562
2024-09-25,0.752
2024-12-17,0.694
2025-03-18,0.46
2025-06-16,0.576
2025-09-16,0.677
2025-12-16,0.842
2026-03-17,0.442
2026-06-15,0.695
