Date,KMB
2015-03-04,0.88
2015-06-03,0.88
2015-09-02,0.88
2015-12-02,0.88
2016-03-02,0.92
2016-06-08,0.92
2016-09-07,0.92
2016-12-07,0.92
2017-03-08,0.97
2017-06-07,0.97
2017-09-07,0.97
2017-12-07,0.97
2018-03-08,1.0
2018-06-07,1.0
2018-09-06,1.0
2018-12-06,1.0
2019-03-07,1.03
2019-06-06,1.03
2019-09-05,1.03
2019-12-05,1.03
2020-03-05,1.07
2020-06-04,1.07
2020-09-03,1.07
2020-12-03,1.07
2021-03-04,1.14
2021-06-03,1.14
2021-09-09,1.14
2021-12-09,1.14
2022-03-03,1.16
2022-06-09,1.16
2022-09-08,1.16
2022-12-08,1.16
2023-03-09,1.18
2023-06-08,1.18
2023-09-07,1.18
2023-12-07,1.18
2024-03-07,1.22
2024-06-07,1.22
2024-09-06,1.22
2024-12-06,1.22
2025-03-07,1.26
2025-06-06,1.26
2025-09-05,1.26
2025-12-05,1.26
2026-03-06,1.28
2026-06-05,1.28
