Date,KO
2015-03-12,0.33
2015-06-11,0.33
2015-09-11,0.33
2015-11-27,0.33
2016-03-11,0.35
2016-06-13,0.35
2016-09-13,0.35
2016-11-29,0.35
2017-03-13,0.37
2017-06-13,0.37
2017-09-14,0.37
2017-11-30,0.37
2018-03-14,0.39
2018-06-14,0.39
2018-09-13,0.39
2018-11-29,0.39
2019-03-14,0.4
2019-06-13,0.4
2019-09-13,0.4
2019-11-29,0.4
2020-03-13,0.41
2020-06-12,0.41
2020-09-14,0.41
2020-11-30,0.41
2021-03-12,0.42
2021-06-14,0.42
2021-09-14,0.42
2021-11-30,0.42
2022-03-14,0.44
2022-06-14,0.44
2022-09-15,0.44
2022-11-30,0.44
2023-03-16,0.46
2023-06-15,0.46
2023-09-14,0.46
2023-11-30,0.46
2024-03-14,0.485
2024-06-14,0.485
2024-09-13,0.485
2024-11-29,0.485
2025-03-14,0.51
2025-06-13,0.51
2025-09-15,0.51
2025-12-01,0.51
2026-03-13,0.53
2026-06-15,0.53
