Date,MCD
2015-02-26,0.85
2015-05-28,0.85
2015-08-28,0.85
2015-11-27,0.89
2016-02-26,0.89
2016-06-02,0.89
2016-08-30,0.89
2016-11-29,0.94
2017-02-27,0.94
2017-06-01,0.94
2017-08-30,0.94
2017-11-30,1.01
2018-02-28,1.01
2018-06-01,1.01
2018-08-31,1.01
2018-11-30,1.16
2019-02-28,1.16
2019-05-31,1.16
2019-08-30,1.16
2019-11-29,1.25
2020-02-28,1.25
2020-05-29,1.25
2020-08-31,1.25
2020-11-30,1.29
2021-02-26,1.29
2021-05-28,1.29
2021-08-31,1.29
2021-11-30,1.38
2022-02-28,1.38
2022-06-03,1.38
2022-08-31,1.38
2022-11-30,1.52
2023-02-28,1.52
2023-06-02,1.52
2023-08-31,1.52
2023-11-30,1.67
2024-02-29,1.67
2024-06-03,1.67
2024-09-03,1.67
2024-12-02,1.77
2025-03-03,1.77
2025-06-02,1.77
2025-09-02,1.77
2025-12-01,1.86
2026-03-03,1.86
2026-06-02,1.86
