Date,MDY
2015-03-20,0.614
2015-06-19,0.924
2015-09-18,0.901
2015-12-18,1.003
2016-03-18,0.816
2016-06-17,0.848
2016-09-16,1.113
2016-12-16,1.165
2017-03-17,0.823
2017-06-16,0.524
2017-09-15,1.445
2017-12-15,1.299
2018-03-16,0.861
2018-06-15,1.01
2018-09-21,1.056
2018-12-21,1.268
2019-03-15,0.884
2019-06-21,1.337
2019-09-20,1.373
2019-12-20,1.449
2020-03-20,1.11
2020-06-19,1.122
2020-09-18,1.033
2020-12-18,1.448
2021-03-19,0.864
2021-09-17,1.31
2021-12-17,1.488
2022-03-18,1.152
2022-06-17,1.402
2022-09-16,1.828
2022-12-16,1.666
2023-03-17,1.193
2023-06-16,1.513
2023-09-15,1.555
2023-12-15,1.891
2024-03-15,1.014
2024-06-21,1.997
2024-09-20,1.65
2024-12-20,2.081
2025-03-21,1.308
2025-06-20,1.803
2025-09-19,1.619
2025-12-19,2.184
2026-03-20,1.516
2026-06-18,1.702
