Date,SHY
2015-02-02,0.033
2015-03-02,0.031
2015-04-01,0.037
2015-05-01,0.035
2015-06-01,0.037
2015-07-01,0.038
2015-08-03,0.038
2015-09-01,0.04
2015-10-01,0.04
2015-11-02,0.041
2015-12-01,0.041
2015-12-24,0.043
2016-02-01,0.045
2016-03-01,0.047
2016-04-01,0.051
2016-05-02,0.049
2016-06-01,0.051
2016-07-01,0.05
2016-08-01,0.051
2016-09-01,0.05
2016-10-03,0.049
2016-11-01,0.051
2016-12-01,0.05
2016-12-22,0.061
2017-02-01,0.051
2017-03-01,0.054
2017-04-03,0.058
2017-05-01,0.062
2017-06-01,0.064
2017-07-03,0.067
2017-08-01,0.071
2017-09-01,0.072
2017-10-02,0.073
2017-11-01,0.078
2017-12-01,0.079
2017-12-21,0.094
2018-02-01,0.086
2018-03-01,0.086
2018-04-02,0.094
2018-05-01,0.103
2018-06-01,0.126
2018-07-02,0.13
2018-08-01,0.138
2018-09-04,0.131
2018-10-01,0.137
2018-11-01,0.146
2018-12-03,0.142
2018-12-18,0.119
2019-02-01,0.152
2019-03-01,0.154
2019-04-01,0.164
2019-05-01,0.156
2019-06-03,0.169
2019-07-01,0.156
2019-08-01,0.15
2019-09-03,0.146
2019-10-01,0.135
2019-11-01,0.14
2019-12-02,0.134
2019-12-19,0.137
2020-02-03,0.135
2020-03-02,0.125
2020-04-01,0.106
2020-05-01,0.072
2020-06-01,0.07
2020-07-01,0.061
2020-08-03,0.05
2020-09-01,0.049
2020-10-01,0.04
2020-11-02,0.039
2020-12-01,0.033
2020-12-17,0.032
2021-02-01,0.03
2021-03-01,0.022
2021-04-01,0.019
2021-05-03,0.012
2021-06-01,0.012
2021-07-01,0.013
2021-08-02,0.012
2021-09-01,0.013
2021-10-01,0.011
2021-11-01,0.011
2021-12-01,0.05
2021-12-16,0.018
2022-02-01,0.023
2022-03-01,0.025
2022-04-01,0.036
2022-05-02,0.044
2022-06-01,0.065
2022-07-01,0.079
2022-08-01,0.088
2022-09-01,0.1
2022-10-03,0.108
2022-11-01,0.141
2022-12-01,0.165
2022-12-15,0.181
2023-02-01,0.152
2023-03-01,0.162
2023-04-03,0.18
2023-05-01,0.191
2023-06-01,0.197
2023-07-03,0.206
2023-08-01,0.212
2023-09-01,0.206
2023-10-02,0.209
2023-11-01,0.23
2023-12-01,0.247
2023-12-14,0.26
2024-02-01,0.242
2024-03-01,0.24
2024-04-01,0.27
2024-05-01,0.262
2024-06-03,0.262
2024-07-01,0.27
2024-08-01,0.272
2024-09-03,0.288
2024-10-01,0.273
2024-11-01,0.283
2024-12-02,0.265
2024-12-18,0.28
2025-02-03,0.273
2025-03-03,0.253
2025-04-01,0.28
2025-05-01,0.259
2025-06-02,0.272
2025-07-01,0.264
2025-08-01,0.27
2025-09-02,0.258
2025-10-01,0.256
2025-11-03,0.263
2025-12-01,0.249
2025-12-19,0.255
2026-02-02,0.25
2026-03-02,0.223
2026-04-01,0.247
2026-05-01,0.243
2026-06-01,0.243
2026-07-01,0.238
