Date,VCSH
2015-02-02,0.116
2015-03-02,0.124
2015-04-01,0.134
2015-05-01,0.124
2015-06-01,0.128
2015-07-01,0.128
2015-08-03,0.131
2015-09-01,0.128
2015-10-01,0.132
2015-12-01,0.133
2015-12-23,0.23
2016-02-01,0.111
2016-03-01,0.135
2016-04-01,0.14
2016-05-02,0.137
2016-06-01,0.144
2016-07-01,0.144
2016-08-01,0.143
2016-09-01,0.14
2016-10-03,0.14
2016-11-01,0.137
2016-12-01,0.136
2016-12-22,0.162
2017-02-01,0.119
2017-03-01,0.14
2017-04-03,0.15
2017-05-01,0.147
2017-06-01,0.15
2017-07-03,0.149
2017-08-01,0.151
2017-09-01,0.151
2017-10-02,0.152
2017-11-01,0.153
2017-12-01,0.153
2017-12-26,0.173
2018-02-01,0.143
2018-03-01,0.142
2018-04-02,0.183
2018-05-01,0.158
2018-06-01,0.174
2018-07-02,0.165
2018-08-01,0.18
2018-09-04,0.174
2018-10-01,0.174
2018-11-01,0.19
2018-12-03,0.178
2018-12-24,0.205
2019-02-01,0.169
2019-03-01,0.174
2019-04-01,0.215
2019-05-01,0.191
2019-06-03,0.207
2019-07-01,0.192
2019-08-01,0.207
2019-09-03,0.196
2019-10-01,0.189
2019-11-01,0.2
2019-12-02,0.183
2019-12-23,0.203
2020-02-03,0.186
2020-03-02,0.162
2020-04-01,0.202
2020-05-01,0.169
2020-06-01,0.174
2020-07-01,0.152
2020-08-03,0.158
2020-09-01,0.144
2020-10-01,0.141
2020-11-02,0.14
2020-12-01,0.129
2020-12-23,0.131
2021-02-01,0.125
2021-03-01,0.109
2021-04-01,0.116
2021-05-03,0.107
2021-06-01,0.11
2021-07-01,0.103
2021-08-02,0.108
2021-09-01,0.106
2021-10-01,0.108
2021-11-01,0.101
2021-12-01,0.099
2021-12-23,0.282
2022-02-01,0.099
2022-03-01,0.092
2022-04-01,0.106
2022-05-02,0.108
2022-06-01,0.116
2022-07-01,0.118
2022-08-01,0.127
2022-09-01,0.136
2022-10-03,0.144
2022-11-01,0.148
2022-12-01,0.15
2022-12-23,0.169
2023-02-01,0.172
2023-03-01,0.164
2023-04-03,0.191
2023-05-01,0.183
2023-06-01,0.195
2023-07-03,0.192
2023-08-01,0.198
2023-09-01,0.21
2023-10-02,0.215
2023-11-01,0.227
2023-12-01,0.216
2023-12-22,0.231
2024-02-01,0.234
2024-03-01,0.229
2024-04-01,0.248
2024-05-01,0.249
2024-06-03,0.258
2024-07-01,0.256
2024-08-01,0.267
2024-09-03,0.263
2024-10-01,0.261
2024-11-01,0.274
2024-12-02,0.273
2024-12-24,0.28
2025-02-03,0.281
2025-03-03,0.259
2025-04-01,0.289
2025-05-01,0.282
2025-06-02,0.297
2025-07-01,0.29
2025-08-01,0.297
2025-09-02,0.29
2025-10-01,0.29
2025-11-03,0.297
2025-12-01,0.291
2025-12-18,0.301
2026-02-02,0.297
2026-03-02,0.27
2026-04-01,0.297
2026-05-01,0.291
2026-06-01,0.297
2026-07-01,0.288
